Date,Open,High,Low,Close,Adj Close,Volume,Symbol,Cap
8/16/2016,162,165.899994,159.300003,165.050003,158.322479,887847,DLF,Large_Cap
8/17/2016,166.600006,168.050003,164.199997,165.75,158.993927,721299,DLF,Large_Cap
8/18/2016,166,168.75,165.600006,167.300003,160.480743,565980,DLF,Large_Cap
8/19/2016,167.100006,169.600006,166.100006,167.699997,160.864426,794518,DLF,Large_Cap
8/20/2016,167.100006,169.600006,166.100006,167.699997,160.864426,794518,DLF,Large_Cap
8/21/2016,167.100006,169.600006,166.100006,167.699997,160.864426,794518,DLF,Large_Cap
8/22/2016,167,168.199997,163.800003,164.550003,157.84285,653818,DLF,Large_Cap
8/23/2016,164,166,161.149994,162.850006,156.212143,487335,DLF,Large_Cap
8/24/2016,163.399994,164.75,162.100006,164.149994,157.459152,386434,DLF,Large_Cap
8/25/2016,164.300003,165.800003,161,161.800003,155.204926,467383,DLF,Large_Cap
8/26/2016,162.5,163.699997,158.5,159.899994,153.38237,955379,DLF,Large_Cap
8/27/2016,162.5,163.699997,158.5,159.899994,153.38237,955379,DLF,Large_Cap
8/28/2016,162.5,163.699997,158.5,159.899994,153.38237,955379,DLF,Large_Cap
8/29/2016,159.949997,160.100006,156.699997,158.300003,151.847595,745033,DLF,Large_Cap
8/30/2016,157.399994,163.449997,155.100006,162.199997,155.588608,1467972,DLF,Large_Cap
8/31/2016,163.899994,165.199997,154.100006,155.199997,148.873932,1383455,DLF,Large_Cap
9/1/2016,155,156.25,146.75,148.600006,142.542953,1276052,DLF,Large_Cap
9/2/2016,149.949997,151.850006,148.300003,149.899994,143.789963,847814,DLF,Large_Cap
9/3/2016,149.949997,151.850006,148.300003,149.899994,143.789963,847814,DLF,Large_Cap
9/4/2016,149.949997,151.850006,148.300003,149.899994,143.789963,847814,DLF,Large_Cap
9/5/2016,149.949997,151.850006,148.300003,149.899994,143.789963,847814,DLF,Large_Cap
9/6/2016,152,152.699997,149.100006,150.550003,144.413483,801654,DLF,Large_Cap
9/7/2016,150,154.5,149.300003,151.800003,145.612534,1254351,DLF,Large_Cap
9/8/2016,152.399994,157.649994,152.050003,156.600006,150.216888,1558057,DLF,Large_Cap
9/9/2016,156.600006,159.300003,152.699997,157.800003,151.367981,1380310,DLF,Large_Cap
9/10/2016,156.600006,159.300003,152.699997,157.800003,151.367981,1380310,DLF,Large_Cap
9/11/2016,156.600006,159.300003,152.699997,157.800003,151.367981,1380310,DLF,Large_Cap
9/12/2016,154.850006,154.850006,143,145.050003,139.137665,1771048,DLF,Large_Cap
9/13/2016,154.850006,154.850006,143,145.050003,139.137665,1771048,DLF,Large_Cap
9/14/2016,145.25,148.100006,142.699997,144.600006,138.705994,1486717,DLF,Large_Cap
9/15/2016,143.699997,146.5,142.399994,144.5,138.610077,1328028,DLF,Large_Cap
9/16/2016,145.5,149.300003,145.199997,146.149994,140.19281,1612762,DLF,Large_Cap
9/17/2016,145.5,149.300003,145.199997,146.149994,140.19281,1612762,DLF,Large_Cap
9/18/2016,145.5,149.300003,145.199997,146.149994,140.19281,1612762,DLF,Large_Cap
9/19/2016,147,152.449997,145.75,151.649994,145.468643,1477612,DLF,Large_Cap
9/20/2016,152,152.199997,146.399994,147.75,141.727631,949154,DLF,Large_Cap
9/21/2016,147.75,150.25,147.600006,148.300003,142.255188,676764,DLF,Large_Cap
9/22/2016,149.050003,154.199997,149.050003,153.800003,147.531021,1280264,DLF,Large_Cap
9/23/2016,155.949997,159.149994,153.300003,155.850006,149.497452,2256803,DLF,Large_Cap
9/24/2016,155.949997,159.149994,153.300003,155.850006,149.497452,2256803,DLF,Large_Cap
9/25/2016,155.949997,159.149994,153.300003,155.850006,149.497452,2256803,DLF,Large_Cap
9/26/2016,155.25,156.649994,150.050003,152.899994,146.667694,1166045,DLF,Large_Cap
9/27/2016,153.5,154.699997,151.300003,153.5,147.243225,686370,DLF,Large_Cap
9/28/2016,153.949997,156.899994,153,156.050003,149.689316,832995,DLF,Large_Cap
9/29/2016,157.100006,158,138.300003,140.199997,134.485367,2028729,DLF,Large_Cap
9/30/2016,142,147.100006,140.199997,146.199997,140.240799,1441574,DLF,Large_Cap
10/1/2016,142,147.100006,140.199997,146.199997,140.240799,1441574,DLF,Large_Cap
10/2/2016,142,147.100006,140.199997,146.199997,140.240799,1441574,DLF,Large_Cap
10/3/2016,148,153.399994,147.949997,152.699997,146.475845,911120,DLF,Large_Cap
10/4/2016,153.899994,154.199997,151.100006,153.649994,147.387115,1291616,DLF,Large_Cap
10/5/2016,155,160.25,152.300003,158.899994,152.423126,2166134,DLF,Large_Cap
10/6/2016,159.25,160.100006,153.550003,155.300003,148.969864,1012929,DLF,Large_Cap
10/7/2016,155.399994,157.199997,154.300003,155.899994,149.545395,732702,DLF,Large_Cap
10/8/2016,155.399994,157.199997,154.300003,155.899994,149.545395,732702,DLF,Large_Cap
10/9/2016,155.399994,157.199997,154.300003,155.899994,149.545395,732702,DLF,Large_Cap
10/10/2016,156.300003,156.5,153,153.949997,147.674896,479733,DLF,Large_Cap
10/11/2016,156.300003,156.5,153,153.949997,147.674896,479733,DLF,Large_Cap
10/12/2016,156.300003,156.5,153,153.949997,147.674896,479733,DLF,Large_Cap
10/13/2016,153.5,153.5,144.850006,147.600006,141.583755,1055495,DLF,Large_Cap
10/14/2016,147.600006,151.5,146.649994,150.149994,144.029785,628425,DLF,Large_Cap
10/15/2016,147.600006,151.5,146.649994,150.149994,144.029785,628425,DLF,Large_Cap
10/16/2016,147.600006,151.5,146.649994,150.149994,144.029785,628425,DLF,Large_Cap
10/17/2016,151,151.899994,145.75,146.800003,140.81633,1044152,DLF,Large_Cap
10/18/2016,147.649994,152.149994,147.649994,151.699997,145.516602,746170,DLF,Large_Cap
10/19/2016,151.800003,152.199997,149.100006,150.25,144.125717,664326,DLF,Large_Cap
10/20/2016,150.5,155.199997,150,153.800003,147.531021,939988,DLF,Large_Cap
10/21/2016,155,157.25,154.350006,156.149994,149.785217,880230,DLF,Large_Cap
10/22/2016,155,157.25,154.350006,156.149994,149.785217,880230,DLF,Large_Cap
